"source","Item (EN)","Category/Department (EN)","Description (EN)","Variant Name"
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash.""","L","",""
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash.""","M","",""
"Hy by Haya-fashion"," Color: Emerald green.","M-38","",""
"Hy by Haya-fashion"," Care instructions: Gentle wash.""","S","",""
"Hy by Haya-fashion","Juja Sequins Top","Tops","Introducing our V-cut sequins top, designed to surprise you with its captivating reflections under the light. This dazzling piece will add glamour to your night at any party, ensuring you shine with elegance.
 *This item can be customized in various colors and sizes to suit your personal preferences.","M"
"Hy by Haya-fashion","Jora Jacket","Tops","Presenting our multi - colored reflective sequined jacket, adorned with ribbed cuffs and collar for a stylish touch. This chic and comfortable jacket features two convenient pockets and is the perfect choice for nighttime music festivals, brilliantly reflecting lights for a dazzling effect.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins.
 Care instructions: Dry Clean / gentle wash.","M"
"Hy by Haya-fashion"," Care Instructions: Dry clean / Gentle Wash""","L","",""
"Hy by Haya-fashion","Silverish Pink Paro Jacket","Tops","Introducing the Selverish Pink Sequins Sleeveless Jacket: A glamorous statement piece for your wardrobe. This eye-catching jacket features shimmering sequins and convenient openable hooks for easy wear. Perfect for adding a touch of sparkle to any outfit.",""
"Hy by Haya-fashion"," Size: Small (waist 36 / bust 45 / length 70).","","",""
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash.","","",""
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash.","","",""
"Hy by Haya-fashion"," Care Instructions: Dry clean / Gentle Wash""","S","",""
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash.","M","",""
"Hy by Haya-fashion","Jora Jacket","Tops","Presenting our multi - colored reflective sequined jacket, adorned with ribbed cuffs and collar for a stylish touch. This chic and comfortable jacket features two convenient pockets and is the perfect choice for nighttime music festivals, brilliantly reflecting lights for a dazzling effect.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins.
 Care instructions: Dry Clean / gentle wash.","S"
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash""","M","",""
"Hy by Haya-fashion"," Care instructions: Dry clean / gentle wash""","S","",""
"Hy by Haya-fashion","Flared Sequined Cut-Out Pants","Bottoms","Step into the spotlight with our stunning flared sequins cut-out pants. Designed for those who love to make a statement, these pants combine the glamour of sequins with a bold, fashion-forward silhouette.
 Materials: Sequins
 Care Instructions: Dry Clean / Gentle Wash
 Color: Silverish Gold","L-40"
"Hy by Haya-fashion","Glitter Glam Slit Pants","Bottoms","Shimmer and sway in our glittery lycra flared pants, designed to catch every eye. Crafted from high-quality lycra fabric, these pants offer a sleek, form-fitting silhouette that accentuates your curves. The glittery finish adds a touch of sparkle, making them perfect for evening outings or dance floors. Featuring two chic side slits for added movement and style, these pants blend comfort with glamour effortlessly. Elevate your wardrobe with a pair that promises both flair and versatility.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Glitter lycra.
 Care instructions: Dry clean / gentle wash.
 Color: Dark grey.","Medium 38"
"Hy by Haya-fashion","Gold Pam Shorts","Bottoms","Introducing our dazzling Gold Metallic High Waisted Shorts – perfect for your next party affair. Featuring a detachable belt and two handy pockets, these shorts effortlessly combine glamour with practicality. Elevate your party ensemble and steal the spotlight with this essential statement piece.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Metallic poly pleated black & gold non stretchy fabric.
 Size: waist 40 / length 38.
 Care instructions: Dry clean / gentle wash.","Medium/38"
"Hy by Haya-fashion","Disco Ball Kimono","Tops","Shine bright on the dance floor with this dazzling coin-sequined long-sleeved kimono. Featuring a comfortable hood, this statement piece is perfect for parties and raving. The shimmering coin sequins catch the light, creating a mesmerizing disco ball effect that will make you the center of attention at any event. Elevate your party wardrobe with this show-stopping kimono and get ready to dance the night away in style.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins.
 Size: one size (Length 90 / Sleeve Length 65).
 Care instructions: Dry clean.
 Color: Sky blue.","One Size"
"Hy by Haya-fashion"," Materials: Metallic faux snake skin.","","",""
"Hy by Haya-fashion"," *This item can be customized in various colors and sizes to suit your personal preferences.","","",""
"Instaura-beauty","Benefit Goof Proof Brow Pencil Shade""4 Warm Deep Brown","Home Page","What it is:
Super easy brow-filling &amp; shaping pencil

Custom “goof-proof” tip
Easy &amp; fast glide-on formula
Built-in spoolie-brush

Why we love it:


Presto…everyone’s an expert with this super easy filling &amp; shaping eyebrow pencil. It features a custom, non-sharpen “goof-proof” tip, soft color and a glide-on formula for easy &amp; fast brow filling. Comes complete with built-in blending spoolie-brush and signature Tips &amp; Tricks!

Comes in full size &amp; mini
12-hour* waterproof** formula
95% said it was easy to fill &amp; shape brows***
94% said it gives beautiful brows on the first try***

*instrumental test on 20 panelists**Instrumental test on 22 panelists***consumer panel survey of 109 women after 1 week",""
"Instaura-beauty","All About The Eyes Set","New Year's Bundles","Set contains :",""
"Instaura-beauty","Bali Body Body Blending Brush","Home Page","This luxe blending brush is the ultimate tool for perfectly buffing self tan into every contour of the body flawlessly. The reusable, vegan brush ensures a streak free and smooth application while keeping your hands self tan free.",""
"Instaura-beauty","Amplifies volume and multiplies the look of lashes","","",""
"Instaura-beauty","Bali Body Face Tan Serum 30Ml","Home Page","A gradual self tanning serum that combines active skincare with bronzing benefits.
Designed to be applied directly to your face or mixed in with your daily moisturiser, say hello to a totally customisable way to achieve a healthy bronzed complexion.









Lightweight formula helps to nourish, brighten and plump your complexion
Clean, natural ingredients
Formulated with 100% natural DHA",""
"Instaura-beauty","Benefit Brow Contour Pro 4-In-1 Defining & Highlighting Brow Pencil ""Brown Black / Light""","Home Page","What it is:

A 4-in-1 defining and highlighting brow pencil.

What it does:

Turn shapeless, flat brows into defined, contoured brows in an instant with this 4-in-1 contour pencil. It features a lighter brow shade, deeper brow shade, edge definer and arch highlighter to create clean, shaped brows with depth and dimension. It's available in five shades for a wide range of hair colours and skin tones.

What else you need to know:


Easy brow contouring
Blendable formula
24-hour longwear
Waterproof

 
HOW TO






Press down the lighter shade tab and twist until you see product and fill in the brow from start to arch. 

Press down the deeper shade tab and twist until you see product and fill in the brow from arch to end.

Stroke the definer below your brow from the start to end and above the brow from the arch to end and blend gently.

Apply the highlighter beneath your arch and blend outwards.",""
"Instaura-beauty","Benefit Goof Proof Brow Pencil Shade""4.5 Neutral Deep Brown","Home Page","What it is:
Super easy brow-filling &amp; shaping pencil

Custom “goof-proof” tip
Easy &amp; fast glide-on formula
Built-in spoolie-brush

Why we love it:


Presto…everyone’s an expert with this super easy filling &amp; shaping eyebrow pencil. It features a custom, non-sharpen “goof-proof” tip, soft color and a glide-on formula for easy &amp; fast brow filling. Comes complete with built-in blending spoolie-brush and signature Tips &amp; Tricks!

Comes in full size &amp; mini
12-hour* waterproof** formula
95% said it was easy to fill &amp; shape brows***
94% said it gives beautiful brows on the first try***

*instrumental test on 20 panelists**Instrumental test on 22 panelists***consumer panel survey of 109 women after 1 week",""
"Instaura-beauty","Full-Flex Fiber Brush lifts root-to-tip and reaches corner-to-corne","","",""
"Instaura-beauty","Benefit 24-Hour Brow Setter Clear Brow Gel “Travel Size”","Home Page","What it is:
Clear eyebrow gel with lamination effect

Shapes &amp; tames eyebrows
Flexible, flake-free formula
Custom-molded dual-sized wand

Why we love it:


Get SET for nonstop brows!This 24-hour* clear brow gel shapes &amp; tames brows and locks on makeup so brows don't pull a disappearing act. The custom-molded, dual-sided wand coats hairs from root to tip and the flexible, flake-free formula is easy to apply and quick to dry!

Sculpts, shapes, lifts &amp; locks brows in place 
24-hour* staying power
Custom-molded dual-sided applicator evenly coats brow hairs
Flexible, mess-free formula
Easy to apply &amp; quick to dry

100% said it controlled brow hairs**

*instrumental test on 21 women**self-evaluation by 32 women after 1 week",""
"Instaura-beauty","Anua - Heartleaf 77% Soothing Toner","Korean Goodies","A soothing toner formulated with Heartleaf Extract, designed to calm irritation and moisturize the skin.





Skin TypeAll, Acne-Prone




BenefitsSkin Trouble Care, Moisture Balance, Balancing pH




TextureWatery Toner




Testing ResultsSkin temperature decreased by 14.52% after 1 use",""
"Instaura-beauty","Benefit 24-Hour Brow Setter Clear Brow Gel","Home Page","What it is:
Clear eyebrow gel with lamination effect

Shapes &amp; tames eyebrows
Flexible, flake-free formula
Custom-molded dual-sized wand

Why we love it:


Get SET for nonstop brows!This 24-hour* clear brow gel shapes &amp; tames brows and locks on makeup so brows don't pull a disappearing act. The custom-molded, dual-sided wand coats hairs from root to tip and the flexible, flake-free formula is easy to apply and quick to dry!

Sculpts, shapes, lifts &amp; locks brows in place 
24-hour* staying power
Custom-molded dual-sided applicator evenly coats brow hairs
Flexible, mess-free formula
Easy to apply &amp; quick to dry

100% said it controlled brow hairs**

*instrumental test on 21 women**self-evaluation by 32 women after 1 week",""
"Instaura-beauty","Benefit Cosmetics Great Brow Basics Set Shade 4 Medium","Home Page","What Is It:

Set includes: Gimme Brow Volumizing Eyebrow Gel, Goof Proof Eyebrow Pencil and Precisely, My Brow Pencil.
Gimme Brow Volumizing Eyebrow Gel: a formula that contains tiny microfibres which adhere to skin and hairs, creating natural-looking fullness that’s both water-resistant and long-wearing.
Goof Proof Eyebrow Pencil: featuring a non-sharpen, angled tip that glides on effortlessly for super-fast, unbelievably easy eyebrow definition that lasts for up to 12 hours.
Precisely, My Brow Pencil: This rich, yet blendable product is minimum fuss, maximum gain with a twist-up, non-sharpen and ultra-fine tip, plus a spoolie brush to make application utterly effortless.
How to Apply:1- Gimme Brow Volumizing Eyebrow Gel: Using short pressing motions, stroke the precision tip along brows to define shape. Comb through with the custom, tiny tapered brush to blend and build.2-Goof Proof Eyebrow Pencil: Use the wide part of the custom goof-proof tip to fill and shape brows. Build colour with a couple of strokes. Use the pointed edge to define the “tail” of your brow. Blend with the spoolie brush.3- Precisely, My Brow Pencil: Start at the base of the brow and use tiny hair-like flicks…light, short, upward strokes…to draw in the direction of your natural hair growth.",""
"Instaura-beauty","Benefit Beauty Sleigh Bells Makeup Set Mini","Home Page","Function: Colour, Fill Pores, Smoothen
Skin Type: Combination, Dry, Normal, Oily
Finish: Natural
Formulation: Cream, Liquid, Pressed Powder






What it is:
A bronzer, brow and primer value set that contains a mini bronzer, brow volumiser and primer.
What it does:
This gift set is to celebrate the most wonderful time of the year—for stocking up on Benefit bestsellers! Gift (or keep!) 3 beauty bestsellers, including #1 face primer The POREfessional for smoother-than-smooth skin, award-winning Hoola for natural-looking bronzed skin and fan-favourite Gimme Brow+ for fuller-looking, volumised brows.",""
"Instaura-beauty","Beauty Of Joeson Relief Sun : Rice + Probiotics (SPF50+ PA++++)","Korean Goodies","What it is
Ginseng has been a cherished herb in Korean history, renowned for its benefits to our overall health and particularly our skin. Our Ginseng Essence Water, made with 80% ginseng water, harnesses the natural power of ginseng, nourishing and hydrating the skin deeply. This essence not only supplies your skin with ample moisture and nutrients but also ensures long-lasting hydration.
Uniform skin tone
This essence calms down the skin surface where dead skin cells occur and helps make the skin tone even by improving the skin texture to be smooth and bright.

Nutrient Supply
It is an essence type that contains niacinamide, which helps to balance the moisture level of the skin and protect it from external stimuli while forming a strong moisture barrier on the skin.

Intensive Moisture Supply
Containing 80% ginseng water, it helps to maintain deep moisture in the skin for a long time and keeps the skin healthy.",""
"Instaura-beauty","Benefit Brow Microfilling Pen ""Deep Brown""","Home Page","What Is It: A pen for the microbladed look made easy that creates the illusion of natural brow hair with three ultrafine lines in a single stroke.What Else You Need to Know: Like a microblading appointment in your makeup bag, this eyebrow pen is a waterproof, smudge-proof ink pen that creates the illusion of real eyebrow hairs with three ultra-fine lines in a single stroke. Designed to blend in seamlessly with existing hairs, it instantly creates a microbladed effect.",""
"Instaura-beauty","Benefit Benetint Cheek & Lip Tint Original Size 10 Ml","Tint","What is it: Rose-tinted lip &amp; cheek stain

Rose-tinted lip stain
Longwear
Cult favorite

Why we love it: This rose-tinted lip stain and cheek stain was created for an exotic dancer in the 1970s. The doe foot applicator glides on lips and blends over cheeks for a gorgeous, long-wear look. This non-drying, buildable formula now comes in a new size and gives a natural-looking, sheer finish.
Suggested Usage:-Apply onto lips, layering to build intensity.-For a pout look, apply lip gloss on top.-Then, dot and blend quickly onto cheeks.-Beauty tip: Wear under High Beam (sold separately) on cheeks for a healthy-looking, dewy glow.",""
"Instaura-beauty","Benefit Boi-Ing Cakeless Full Coverage Liquid Concealer ""4""","Home Page","What it is:

Full coverage liquid concealer
Hides dark undereye circles &amp; blemishes
Doesn’t cake or crack


Why we love it:


This multitasking FULL COVERAGE liquid concealer hides it all, from dark undereye circles to blemishes and discoloration...yet it feels lightweight and doesn't cake or crack. The Cushion Tip creates a smoother than smooth application and blends seamlessly for longwearing, waterproof** coverage.",""
"Instaura-beauty","ÖKO-TEST VERY GOOD Magazine 7/2016","","",""
"Instaura-beauty"," -Sephora Eyebrow Kit Eyebrow Editor","","",""
"Instaura-beauty","Anastasia Beverly Hills Soft Glam Eyeshadow Palette","Home Page","What Is It: Anastasia Beverly Hills Soft Glam Eyeshadow Palette is an everyday to night eyeshadow palette with 14 shades, including essential mattes and glamorous shimmers This eye makeup collection features a highly pigmented, easy-to-blend formula, allowing you to create seamless neutral eyeshadow looks for both day and evening wear. Soft Glam Eyeshadow Palette includes 9 ultra-matte and 5 metallic eyeshadow finishes, a dual-ended makeup brush and a large mirror housed inside travel-friendly packaging.",""
"Instaura-beauty","Benefit BADgal BANG! Volumizing Mascara Shade ""Black"" Travel Size","Home Page","What is it: BIGGER, BADDER volumizing mascara

Contains aero-particles
Smudge-proof and water-resistant
Custom Slimpact! brush

Why we Love it: BADgal BANG! 36 HOUR* FULL-BLAST volumizing mascara creates MASSIVE volume without weighing down lashes. The gravity-defying formula contains aero-particles, one of the lightest known materials, derived from space technology. This innovative intense pitch black mascara layers easily for bigger and BIGGER impact. Its custom big Slimpact! brush is streamlined to reach root-to-tip, corner-to-corner, upper and lower lashes for BIG VOLUME WITH 360° REACH!

Smudge-proof, water-resistant, volumizing mascara
90% saw dramatic volume**
94% said it instantly lifted lashes**
92% said it lengthened lashes**
ProVitamin B5 known to fuel thickness &amp; strength",""
"Instaura-beauty","Benefit Gimme Brow+ Tinted Volumizing Eyebrow Gel Shade ""3.5 Warm Auburn Brown""","Home Page","What it is:A brow-volumizing tinted gel with tiny microfibers that create natural-looking fullness and definition.What it does:Benefit’s Gimme Brow+ Volumizing Eyebrow Gel contains tiny microfibers that adhere to skin and brow hairs, creating natural-looking brow volume. The custom tiny, tapered brush provides an easy, mess-proof application, and makes it easy to tame, tint, and volumize the look of your brows. The buildable formula is also water resistant and long wearing. This product is an Allure Best of Beauty award winner.Beauty Tip:Start your look with Benefit’s bestselling Precisely, My Brow Pencil (sold separately) for expertly full and defined brow looks.",""
"Instaura-beauty","Benefit Dandelion Twinkle Powder Highlighter","Home Page","WHY WE LOVE IT: 
Get your glow on with Dandelion Twinkle superfine highlighting powder. Special baked technology delivers a strobing formula for a sheer, whisper-light texture. Wear it alone or on top of your favorite blush or powder and step into the dreamy spotlight.

Quick, easy strobing 
Highlighting powder
Signature dandy daydream scent",""
"Instaura-beauty","Benefit Cookie Powder Highlighter","Home Page","What is it: Golden pearl super-silky highlighter

Silky-fine powder highlighter
Soft-gold shimmer

Why we Love it:


A gorgeous glow is just a sweep away! Stroke our silky-fine powder highlighter along cheekbones for a delicious soft-gold shimmer. Includes a built-in mirror and powder brush for easy, seamless application.

Golden pearl super-silky highlighter
Includes custom rounded blush brush and mirror",""
"Instaura-beauty","Bali Body Dark Self Tanning Mousse","Home Page","Achieve the deepest, darkest fake tan possible with our ultra dark formula. Just 1 layer of this tinted self tan mousse will provide a dark yet natural looking result. Enriched with nourishing oils and 100% natural DHA for smooth, hydrated and perfectly bronzed skin.
 
How to Apply
Let our BB babe show you how to get the best self tan possible. This video is a step by step guide to achieve the most flawless, perfect tan. 

For a medium to dark tan, wash off after 3-4 hours. For the deepest tan leave for 8 hours before showering.",""
"Instaura-beauty","Benefit Gimme Brow+ Tinted Volumizing Eyebrow Gel Shade ""3 Neutral Light Brown""","Home Page","What it is:A brow-volumizing tinted gel with tiny microfibers that create natural-looking fullness and definition.What it does:Benefit’s Gimme Brow+ Volumizing Eyebrow Gel contains tiny microfibers that adhere to skin and brow hairs, creating natural-looking brow volume. The custom tiny, tapered brush provides an easy, mess-proof application, and makes it easy to tame, tint, and volumize the look of your brows. The buildable formula is also water resistant and long wearing. This product is an Allure Best of Beauty award winner.Beauty Tip:Start your look with Benefit’s bestselling Precisely, My Brow Pencil (sold separately) for expertly full and defined brow looks.",""
"Instaura-beauty","Benefit Fan Fest Fanning & Volumizing Mascara Mini","Home Page","What is it: ",""
"Instaura-beauty","Benefit Boi-Ing Cakeless Full Coverage Liquid Concealer ""07""","Home Page","What it is:

Full coverage liquid concealer
Hides dark undereye circles &amp; blemishes
Doesn’t cake or crack


Why we love it:


This multitasking FULL COVERAGE liquid concealer hides it all, from dark undereye circles to blemishes and discoloration...yet it feels lightweight and doesn't cake or crack. The Cushion Tip creates a smoother than smooth application and blends seamlessly for longwearing, waterproof** coverage.",""
"Instaura-beauty","Armani Code Parfum Pour Homme 75Ml","Home Page","What Is It: 



It's a woody aromatic scent, described as strong yet sensitive, reinventing the original Armani Code. The fragrance is available in a 75ml bottle and is composed of top notes of Bergamot and Bergamot Leaf, heart notes of Clary Sage, Iris, and Aldehydes, and base notes of Tonka Bean and Cedarwood. 







Fragrance Type: Woody Aromatic.


Size: 75ml.


Top Notes: Bergamot, Bergamot Leaf.


Heart Notes: Clary Sage, Iris, Aldehydes.


Base Notes: Tonka Bean, Cedarwood",""
"Instaura-beauty","Benefit BADgal BANG 24 Hour Eye Pencil Shade ""Dark Purple""","Home Page","What is it : A creamy longwear eye liner

Rich, creamy, waterproof**
Available in 4 shades
Includes a built-in smudger

Why we love it:
Get bold definition with BADgal BANG! 24 Hour* Eye Pencils. These rich, creamy, waterproof** eye liners glide on smooth and set to a transfer-resistant matte finish. Includes a built-in smudger for smoky eyes in seconds. Available in four shades that’ll flatter everyone. 

24 Hour* Longwear eye pencil
Waterproof**, transfer-resistant
Automatic, no-sharpen tip
Built-in smudger
Pitch Black, Deep Brown, Dark Purple, Midnight Blue",""
"Instaura-beauty","Benefit Cosmetics Pore Minimizer Squad Mini Pore Primer And Setting Spray Set","Home Page","What it is: A pore primer and setting spray value set that contains a mini ultra-lightweight pore primer, hydrating pore primer, and makeup setting spray.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS &amp; SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Try the latest POREfessional heroes with this mini multitasking primer and setting spray starter pack featuring The POREfessional: Lite Primer! Instantly blur and refine pores with this water-based, silicone-free primer that helps makeup apply evenly, stay put, and feel weightless and breathable on skin. It also includes minis of The POREfessional Hydrate Primer to defeat dryness and minimize the look of pores and The POREfessional: Super Setter to give your look super staying power for 16 hours.This Set Contains:- 0.25 oz/ 7.5 mL The POREfessional: Lite Primer- 0.25 oz/ 7.5 mL The POREfessional: Hydrate Primer- 1.0 oz/ 30 mL The POREfessional: Super Setter",""
"Instaura-beauty","Benefit Gogo Tint Lip & Cheek Stain 6Ml","Tint","What is it: An iconic, smudge-proof , Bright cherry tinted stain that delivers a natural-looking finish.

Bright cherry tinted stain
Longwear
Smudge-proof

Why We love it: Turn on the sass with this bright cherry red tinted lip &amp; cheek stain! Our precise lip applicator glides right on lips for a juicy burst of color and blends beautifully onto cheeks for a sweet, vibrant flush that lasts for hours.

Cherry red lip &amp; cheek stain
Kiss-proof &amp; smudge-proof
Longwear

Suggested Usage:-Apply onto lips, layering to build intensity.-For a pout look, apply lip gloss on top.-Then, dot and blend quickly onto cheeks.-Beauty tip: Wear under High Beam (sold separately) on cheeks for a healthy-looking, dewy glow.",""
"Instaura-beauty","Benefit Eyelash Set Benefit Cosmetics Lash Love-In Brow Gift Set","Home Page","Includes: - Roller Lash super-curling &amp; liftingmascara I mini - Gimme Brow brow-volumizing fiber gel in shade 03 I mini - Pin-up Lash multi-layered lashes - Real False Lashes Invisible Lash Glue 48-hourlash glue I full-size",""
"Instaura-beauty","-Essence Lash &amp; Brow Gel Mascara - Transparent","","",""
"Instaura-beauty","Benefit High Beam Liquid Highlighter 6.0 ML","Tint","What it is: A satiny-pink liquid highlighter that accents cheek and brow bones for a dewy glow.What Else You Need to Know: Benefit Cosmetics’ new doe foot applicator glides on easily for soft rose-gold radiance. This long-lasting formula can be used as a spot highlighter over makeup or wear under complexion favorites for a subtle glow.
 

Suggested Usage:-Start fresh faced or dolled up by applying dots where you want to add radiance: cheekbones, brow bones, forehead, or down the bridge of nose.",""
"Instaura-beauty","BareMinerals Full-Size Strength & Length Mascara Duo","Home Page","What it is:


2 STRENGTH &amp; LENGTH® Serum-Infused Mascara in Extreme Black (black) (8ml / 0.27 fl. oz.)

Nourishes lashes while providing instant length and lift
Plant-based serum strengthens and enhances lashes



Why You'll Love It
*Patent-pending paddle brush^ instantly lengthens, lifts and defines for your longest lashes ever*Plant-based serum with potent peptides help strengthen lashes*Long-wearing, smudge-proof, flake-proof and clump-proof*Mineral pigments provide rich, ultra-black color*Ophthalmologist-tested*Safe for contact lens wearers*Vegan*Cruelty-free*Clean — formulated without parabens, formaldehyde, synthetic fragrance, gluten and more*Every kit in our joyful, limited-edition holiday collection is ready to gift in a fully recyclable, plastic-free box",""
"Instaura-beauty","Beauty Of Joseon Matte Sun Stick Mugwort + Camelia","Korean Goodies","What it is: 
Matte Sun Stick was developed with Ramón @glowbyramon, an influencer and cosmetic chemist, as the director. It was created after an extensive collaboration by meticulously going through all the processes that fall under BOJ's brand philosophy of Modern Hanbang skin care.
While most sun sticks are tailored for outdoor pursuits, we've designed ours to be just as beneficial in our everyday urban environments. Regular sunscreen reapplication every 2-3 hours is crucial for optimal SPF and PA protection, but it's often challenging. Therefore, we've engineered a sun stick with a matte formula that applies smoothly, without becoming clumpy or greasy, even when reapplied over makeup.Our sun stick utilizes a sebum-control silica powder to regulate oil production, ensuring an adherence boost and a smooth, matte finish. Plus, it's packed with artemisia capillaris and green tea extracts, contributing to a smooth skin texture while preserving its hydration.
Non-greasy matte sun stickIt is a matte sun stick without any of the oily or sticky feelings. It is hygienic as you don’t need to apply it with your hands, and it is compact, enabling convenient use anytime, anywhere.Porous sebum-control silica powderSebum-control silica powder regulates sebum on the skin, giving a smooth and soft-rolling feeling without greasiness.",""
"Instaura-beauty","Benefit Hoola Matte Bronzer","Home Page","What is it: Matte Powder bronzer for the face 
How to use it:
Sweep all over face for a subtle, bronze highlight. Swirl over neck, décolletage and shoulders for an amped-up “whoa” .
Why we Love it:




All 4 shades of Benefit’s award-winning bronzer feature the same soft, blendable formula and matte finish that made the original Hoola a cult-fave. The entire Hoola bronzer collection ranges from light to deep so you can sweep on a natural-looking bronze. Comes complete with a built-in mirror and powder brush for a sunless &amp; seamless application.


Hoola Lite: light powder bronzer for face

Hoola: Original matte powder bronzer for face
NEW! Hoola Caramel: medium–deep powder bronzer for face
NEW! Hoola Toasted: deep powder bronzer for face",""
"Instaura-beauty","Beauty Of Joseon Glow Serum : Propolis + Niacinamide","Korean Goodies","This serum is made for those struggling with enlarged pores and skin redness. With a blend of 60% propolis extract and 2% niacinamide, gives your skin hydrated.",""
"Instaura-beauty","Bali Body Watermelon Tanning Oil SPF15","Home Page","Watermelon Tanning Oil with bonus sun protection. Achieve a deep natural tan with this hydrating, natural oil. ​Enriched with watermelon seed extract to naturally enhance melanin while leaving you smelling fruity fresh. Say hello to the ultimate summer essential.",""
"Instaura-beauty","Bath & Body Works Cactus Blossom Shower Gel","Home Page","Bright. Floral. Sweet Shower Gel.
With notes of bright cactus petals blended with sun-kissed coconut &amp; vanilla.


Overview
With a rich, bubbly lather that includes shea butter &amp; vitamin E, this beautifully fragrant shower gel leaves skin clean &amp; refreshed.",""
"Instaura-beauty","Benefit Brow Microfilling Pen ""Medium Brown""","Home Page","What Is It: A pen for the microbladed look made easy that creates the illusion of natural brow hair with three ultrafine lines in a single stroke.What Else You Need to Know: Like a microblading appointment in your makeup bag, this eyebrow pen is a waterproof, smudge-proof ink pen that creates the illusion of real eyebrow hairs with three ultra-fine lines in a single stroke. Designed to blend in seamlessly with existing hairs, it instantly creates a microbladed effect.",""
"Instaura-beauty","Benefit Hoola Toasted Bronzer","Home Page","What is it: Matte Powder bronzer for the face 
Deep Bronzer
How to use it:
Sweep all over face for a subtle, bronze highlight. Swirl over neck, décolletage and shoulders for an amped-up “whoa” .
Why we Love it:




All 4 shades of Benefit’s award-winning bronzer feature the same soft, blendable formula and matte finish that made the original Hoola a cult-fave. The entire Hoola bronzer collection ranges from light to deep so you can sweep on a natural-looking bronze. Comes complete with a built-in mirror and powder brush for a sunless &amp; seamless application.


Hoola Lite: light powder bronzer for face

Hoola: Original matte powder bronzer for face
NEW! Hoola Caramel: medium–deep powder bronzer for face
NEW! Hoola Toasted: deep powder bronzer for face",""
"Instaura-beauty","Azzaro Wanted Girl EDP 80Ml","Perfumes","Wanted Girl by Azzaro is a Oriental Floral fragrance for women.
Top Notes: Orange Blossom, Ginger flower, Pomegranate &amp; Pink Pepper.
Middle Notes: Dulce de leche &amp; Datura.
Base Notes: Tonka Bean, Patchouli &amp; Haitian Vetiver.",""
"Instaura-beauty","Benefit Cha Chatint Cheek & Lip Tint 6Ml","Tint","What is it: Mango-tinted lip &amp; cheek stain

Mango tinted stain
Longwear
Smooch-proof

Why we love it: This sheer stain beautifully blushes lips &amp; cheeks with a mango hue. Our precise lip applicator glides right on lips &amp; cheeks for a deliciously vibrant look that lasts for hours.

Smooch-proof
Longwear
Smudge-proof

Suggested Usage:-Apply onto lips, layering to build intensity.-For a pout look, apply lip gloss on top.-Then, dot and blend quickly onto cheeks.-Beauty tip: Wear under High Beam (sold separately) on cheeks for a healthy-looking, dewy glow.",""
"Instaura-beauty","Benefit Hoola Matte Bronzer Mini","Home Page","What is it: Matte Powder bronzer for the face 
How to use it:
Sweep all over face for a subtle, bronze highlight. Swirl over neck, décolletage and shoulders for an amped-up “whoa” .
Why we Love it:




All 4 shades of Benefit’s award-winning bronzer feature the same soft, blendable formula and matte finish that made the original Hoola a cult-fave. The entire Hoola bronzer collection ranges from light to deep so you can sweep on a natural-looking bronze. Comes complete with a built-in mirror and powder brush for a sunless &amp; seamless application.


Hoola Lite: light powder bronzer for face

Hoola: Original matte powder bronzer for face
NEW! Hoola Caramel: medium–deep powder bronzer for face
NEW! Hoola Toasted: deep powder bronzer for face



*doesn’t come with a brush",""
"Instaura-beauty","Armani Code EDP Pour Homme 110 Ml","Home Page","What Is It: An oriental fougere fragrance for men. Fresh, warm, spicy, earthy, powdery &amp; tempting. Perfect for all occasions. Launch year: 2021. Perfect for all occasions.



Top notes: Lavender, Lemon, Bergamot.

Middle notes: Tonka bean.

Base notes: Vanilla, Cedar, Suede, Musk. Design house: Giorgio Armani. Scent. name: Armani Code Eau De Parfum.",""
